"id","ref_id","technology","hierarchy","specification","structure_id","owner","remediation","remediation_specification","remediation_desc","full_name","node_code","cascade","forward_attenuator","forward_equaliser","return_attenuator","return_equaliser","ac_voltage","free_tap_ports","signal_level_code","connected_rf_combiner_code","connected_exchange_code","connected_cmts_code","object_status","NBP_flag","asset_transfer"
"3NES-68-01-PCD-0162","","COAXIAL","PCD","VIRTUAL","000000000200061810","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0163","","COAXIAL","PCD","VIRTUAL","000000000200061814","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0154","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0156","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0157","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0158","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0159","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0160","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0161","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0180","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0168","","COAXIAL","PCD","VIRTUAL","000000000200061935","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0169","","COAXIAL","PCD","VIRTUAL","000000000200061934","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0170","","COAXIAL","PCD","VIRTUAL","000000000200061914","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0171","","COAXIAL","PCD","VIRTUAL","000000000200061921","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0172","","COAXIAL","PCD","VIRTUAL","000000015004899649","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0174","","COAXIAL","PCD","VIRTUAL","000000015004899653","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
