"id","ref_id","additional_id","segment_number","technology","hierarchy","length","specification","start_equipment_id","end_equipment_id","core_count","designation","start_structure_id","end_structure_id","object_status","owner","placement_type","start_equipment_port_id","end_equipment_port_id","remediation","remediation_specification","remediation_desc","leadin_cable_transfer","asset_transfer"
"000000004223859256","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015020711553","",2,"WESS CA6:B412","000000000200365535","000000004223859115","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223859440","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223279648","",2,"WESS CA6:B415","000000000200365532","000000004223859301","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223859619","","",1,"COPPER","CSS",9.8,"Cu 2/0.40, PEILI, PE","000000004223313259","",2,"WESS CA6:B414","000000012503605721","000000004223859485","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223860086","","",1,"COPPER","CSS",24.8,"Cu 2/0.40, PEILI, PE","000000015018029053","",2,"WESS CA6:B402","000000000200365551","000000004223859664","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223860140","","",1,"COPPER","CSS",29.5,"Cu 2/0.40, PEILI, PE","000000015018029053","",2,"WESS CA6:B403","000000000200365551","000000004223859707","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223860502","","",1,"COPPER","CSS",27.4,"Cu 2/0.40, PEILI, PE","000000015016221867","",2,"WESS CA6:B449","000000001203964453","000000004223860233","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223860831","","",1,"COPPER","CSS",26.7,"Cu 2/0.40, PEILI, PE","000000015020712356","",2,"WESS CA6:B447","000000001203964455","000000004223860555","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223861308","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015008465548","000000004223861433",2,"WESS CA6:B555","000000012503605780","000000004223860969","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223861352","","",1,"COPPER","CSS",5.3,"Cu 1/0.40, PEILI, PE","000000004223861433","",1,"WESS CA6:B555","000000004223860969","000000004223860879","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223861993","","",1,"COPPER","CSS",7.1,"Cu 2/0.40, PEILI, PE","000000004223331966","",2,"WESS P135:O38","000000012503601843","000000004223861856","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223862188","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223265220","",2,"WESS P135:O33","000000000200301764","000000004223862044","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223862369","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015019463624","",2,"WESS P135:O243","000000000200300875","000000004223862234","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223862750","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEIFLI, PE","000000004223331685","",2,"WESS P135:O212, WESS P135:O221","000000012503601124","000000004223862611","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223863125","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223331727","",2,"WESS P135:O217","000000012503601137","000000004223862981","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223863310","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223331727","",2,"","000000012503601137","000000004223863174","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223863693","","",1,"COPPER","CSS",7.0,"Cu 2/0.40, PEILI, PE","000000015020711274","",2,"","000000000200299506","000000004223863555","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223864080","","",1,"COPPER","CSS",6.3,"Cu 2/0.40, PEILI, PE","000000004223272790","",2,"WESS P135:O206","000000000200299478","000000004223863939","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223864266","","",1,"COPPER","CSS",6.3,"Cu 2/0.40, PEILI, PE","000000015020712675","",2,"WESS P135:O249","000000012503601156","000000004223864128","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223925092","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223320730","",2,"WESS P128:O8","000000012502069356","000000004223924958","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502053010","","",1,"COPPER","CSS",6.0,"Cu 2/0.40, PEILI, PE","000000004223297144","",2,"WESS P133:O137","000000000212239516","000000000212239522","INSERVICE","TELSTRA","","","","","","","N","N"
"000000012502053041","","",1,"COPPER","CSS",18.5,"Cu 2/0.40, CPFLI, PE","000000004223186776","000000004223297144",2,"WESS P133:O137","000000000200052120","000000000212239516","INSERVICE","TELSTRA","","","","","","","N","N"
